[2021-11-02 21:47:15] front.INFO [N/A] [d423b42] [anon.] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /products/detail/12, 171.253.2.81, NULL, Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/95.0.4638.50 Mobile/15E148 Safari/604.1]
[2021-11-02 21:47:15] front.INFO [N/A] [d423b42] [anon.] [Eccube\Log\Logger:log:66] - LOGIC START ["product_detail"] [GET, /products/detail/12, 171.253.2.81, NULL, Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/95.0.4638.50 Mobile/15E148 Safari/604.1]
[2021-11-02 21:47:15] php.INFO [N/A] [d423b42] [anon.] [Symfony\Component\Debug\ErrorHandler:handleError:523] - User Deprecated: The repository_method option of @ParamConverter is deprecated and will be removed in 6.0. Use the expr option or @Entity. {"exception":"[object] (ErrorException(code: 0): User Deprecated: The repository_method option of @ParamConverter is deprecated and will be removed in 6.0. Use the expr option or @Entity. at /var/www/vhosts/cosmosmarket.vn/httpdocs/vendor/sensio/framework-extra-bundle/Request/ParamConverter/DoctrineParamConverter.php:314)"} [GET, /products/detail/12, 171.253.2.81, NULL, Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/95.0.4638.50 Mobile/15E148 Safari/604.1]
[2021-11-02 21:47:15] php.INFO [N/A] [d423b42] [anon.] [Symfony\Component\Debug\ErrorHandler:handleError:523] - User Deprecated: The repository_method option of @ParamConverter is deprecated and will be removed in 6.0. Use the expr option or @Entity. {"exception":"[object] (ErrorException(code: 0): User Deprecated: The repository_method option of @ParamConverter is deprecated and will be removed in 6.0. Use the expr option or @Entity. at /var/www/vhosts/cosmosmarket.vn/httpdocs/vendor/sensio/framework-extra-bundle/Request/ParamConverter/DoctrineParamConverter.php:314)"} [GET, /products/detail/12, 171.253.2.81, NULL, Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/95.0.4638.50 Mobile/15E148 Safari/604.1]
[2021-11-02 21:47:15] front.INFO [gapi09tnf9gt0m5m5nr4t69s5r] [d423b42] [anon.] [Eccube\Log\Logger:log:66] - LOGIC END ["product_detail"] [GET, /products/detail/12, 171.253.2.81, NULL, Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/95.0.4638.50 Mobile/15E148 Safari/604.1]
[2021-11-02 21:47:15] app.INFO [N/A] [d423b42] [anon.] [Eccube\Log\Logger:log:68] - PROCESS END ["product_detail"] [GET, /products/detail/12, 171.253.2.81, NULL, Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/95.0.4638.50 Mobile/15E148 Safari/604.1]
[2021-11-02 22:51:31] app.INFO [N/A] [960bb96] [1] [Eccube\Log\Logger:log:68] - PROCESS END ["admin_product_product_new"] [GET, /Admin/product/product/new, 116.102.39.64, http://cosmosmarket.vn/Admin/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 22:51:32] front.INFO [N/A] [004b928] [N/A] [Eccube\Log\Logger:log:66] - INIT [] [GET, /, 116.102.39.64, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 22:51:32] front.INFO [aq2jsdbudtrugmuninvk93k6qt] [004b928] [anon.] [Eccube\Log\Logger:log:66] - PROCESS START ["homepage"] [GET, /, 116.102.39.64, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 22:51:32] front.INFO [aq2jsdbudtrugmuninvk93k6qt] [004b928] [anon.] [Eccube\Log\Logger:log:66] - LOGIC START ["homepage"] [GET, /, 116.102.39.64, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 22:51:33] front.INFO [aq2jsdbudtrugmuninvk93k6qt] [004b928] [anon.] [Eccube\Log\Logger:log:66] - LOGIC END ["homepage"] [GET, /, 116.102.39.64, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 22:51:33] app.INFO [N/A] [004b928] [anon.] [Eccube\Log\Logger:log:68] - PROCESS END ["homepage"] [GET, /, 116.102.39.64, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 22:58:15] front.INFO [N/A] [d215464] [N/A] [Eccube\Log\Logger:log:66] - INIT [] [GET, /, 116.102.39.64, http://cosmosmarket.vn/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 22:58:15] front.INFO [aq2jsdbudtrugmuninvk93k6qt] [d215464] [anon.] [Eccube\Log\Logger:log:66] - PROCESS START ["homepage"] [GET, /, 116.102.39.64, http://cosmosmarket.vn/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 22:58:15] front.INFO [aq2jsdbudtrugmuninvk93k6qt] [d215464] [anon.] [Eccube\Log\Logger:log:66] - LOGIC START ["homepage"] [GET, /, 116.102.39.64, http://cosmosmarket.vn/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 22:58:15] front.INFO [aq2jsdbudtrugmuninvk93k6qt] [d215464] [anon.] [Eccube\Log\Logger:log:66] - LOGIC END ["homepage"] [GET, /, 116.102.39.64, http://cosmosmarket.vn/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 22:58:15] app.INFO [N/A] [d215464] [anon.] [Eccube\Log\Logger:log:68] - PROCESS END ["homepage"] [GET, /, 116.102.39.64, http://cosmosmarket.vn/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 22:58:33] front.INFO [N/A] [8fb5078] [N/A] [Eccube\Log\Logger:log:66] - INIT [] [GET, /products/list?category_id=15, 116.102.39.64, http://cosmosmarket.vn/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 22:58:33] front.INFO [aq2jsdbudtrugmuninvk93k6qt] [8fb5078] [anon.] [Eccube\Log\Logger:log:66] - PROCESS START ["product_list"] [GET, /products/list?category_id=15, 116.102.39.64, http://cosmosmarket.vn/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 22:58:33] front.INFO [aq2jsdbudtrugmuninvk93k6qt] [8fb5078] [anon.] [Eccube\Log\Logger:log:66] - LOGIC START ["product_list"] [GET, /products/list?category_id=15, 116.102.39.64, http://cosmosmarket.vn/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 22:58:33] front.INFO [aq2jsdbudtrugmuninvk93k6qt] [8fb5078] [anon.] [Eccube\Log\Logger:log:66] - LOGIC END ["product_list"] [GET, /products/list?category_id=15, 116.102.39.64, http://cosmosmarket.vn/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 22:58:33] app.INFO [N/A] [8fb5078] [anon.] [Eccube\Log\Logger:log:68] - PROCESS END ["product_list"] [GET, /products/list?category_id=15, 116.102.39.64, http://cosmosmarket.vn/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 23:02:20] app.INFO [N/A] [1a46356] [1] [Eccube\Log\Logger:log:68] - PROCESS END ["admin_product_product_new"] [POST, /Admin/product/product/new, 116.102.39.64, http://cosmosmarket.vn/Admin/product/product/new, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 23:02:31] app.INFO [N/A] [53bd2fb] [1] [Eccube\Log\Logger:log:68] - PROCESS END ["admin_product_product_new"] [POST, /Admin/product/product/new, 116.102.39.64, http://cosmosmarket.vn/Admin/product/product/new, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 23:10:57] app.INFO [N/A] [5db9634] [1] [Eccube\Log\Logger:log:68] - PROCESS END ["admin_homepage"] [GET, /Admin/, 116.102.39.64, http://cosmosmarket.vn/Admin/product/product/new, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 23:10:58] app.INFO [N/A] [f5c3777] [1] [Eccube\Log\Logger:log:68] - PROCESS END ["admin_homepage_sale"] [GET, /Admin/sale_chart, 116.102.39.64, http://cosmosmarket.vn/Admin/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 23:11:03] app.INFO [N/A] [3183488] [1] [Eccube\Log\Logger:log:68] - PROCESS END ["admin_product"] [GET, /Admin/product, 116.102.39.64, http://cosmosmarket.vn/Admin/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 23:11:04] app.INFO [N/A] [0e1c096] [1] [Eccube\Log\Logger:log:68] - PROCESS END ["admin_product_product_new"] [GET, /Admin/product/product/new, 116.102.39.64, http://cosmosmarket.vn/Admin/product, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 23:11:20] app.INFO [N/A] [ff4145e] [1] [Eccube\Log\Logger:log:68] - PROCESS END ["admin_product_product_new"] [POST, /Admin/product/product/new, 116.102.39.64, http://cosmosmarket.vn/Admin/product/product/new, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 23:12:14] app.INFO [N/A] [a531222] [1] [Eccube\Log\Logger:log:68] - PROCESS END ["admin_homepage"] [GET, /Admin/, 116.102.39.64, http://cosmosmarket.vn/Admin/product/product/new, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 23:12:14] app.INFO [N/A] [b422789] [1] [Eccube\Log\Logger:log:68] - PROCESS END ["admin_homepage_sale"] [GET, /Admin/sale_chart, 116.102.39.64, http://cosmosmarket.vn/Admin/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 23:12:29] app.INFO [N/A] [ecf5e48] [1] [Eccube\Log\Logger:log:68] - PROCESS END ["admin_product_product_new"] [GET, /Admin/product/product/new, 116.102.39.64, http://cosmosmarket.vn/Admin/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 23:43:02] app.INFO [N/A] [b92c3da] [1] [Eccube\Log\Logger:log:68] - PROCESS END ["admin_product_category"] [GET, /Admin/product/category, 116.102.39.64, http://cosmosmarket.vn/Admin/product/product/new, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 23:43:08] app.INFO [N/A] [4bfb929] [1] [Eccube\Log\Logger:log:68] - PROCESS END ["admin_product_tag"] [GET, /Admin/product/tag, 116.102.39.64, http://cosmosmarket.vn/Admin/product/category, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 23:43:26] app.INFO [N/A] [fcf232d] [1] [Eccube\Log\Logger:log:68] - PROCESS END ["admin_product"] [GET, /Admin/product, 116.102.39.64, http://cosmosmarket.vn/Admin/product/tag, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
